prod_name,prod_desc,prod_price,prod_rating,prod_no_rating,prod_no_sold,sell_name,sell_rating,sell_no_products,sell_resprate,sell_resptime,sell_follower,sell_joined
"Preferred+
【Ready Stock 】 [Halal] NongShim Shin Ramyun Ramen (120g X 5pack) 600g",,RM12.50,5,5,421,49shopp,23.5k,411,98%,within hours,3 years ago,9.8k
Halal Nongshim Ramen (Shin Ramyun / Kimchi Ramen / Korea Claypot Ramyun / Neoguri Udon) [120g x 5 Packs],"Expiry date :
Shin ramyun - December 2021
Kimchi Ramen - 06/12/2021
Claypot Ramyun -
Neoguri Udon - 

* 1 Unit has the option to add a box with a price of rm1 for safe packing (please add a box for better protection)
*3 units do not need to be added to the box (boxes will be provided)*


The most favorite spicy taste of Koreans !!!
From October 1986 until now, Shin Ramyun is loved by everyone. Every day, the average estimate, 3 million packets are sold, equivalent to 25% of the total ramyun market in Korea.
 Shin Ramyun had great success in the ramyun market. Shin Ramyun’s unique spicy taste is the most preferred brand in over 80 overseas countries, such as Japan, Hong Kong, Taiwan, and China.
 
Product Features:
1. A special mixture of premium noodle flour is used to bring a chewy texture to the noodles.
2. Korea’s leading No.1 Ramyun made by Nongshim’s State-of-The-Art Facilities and Technology.

Basic Recipes for Products:
[Shin Ramyun]
1. Boil 550 ml (about 2 1/4 cups) of water. Add the noodles, soup and vegetable mixture.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",RM15.90 - RM48.00,4.9,4.9,68,newlineresources.online,2.1k,57,81%,within hours,12 months ago,1.2k
Halal Nongshim Shin Ramyun/Kimchi Ramen/ neoguri Udon/ Claypot Ramyun Set (120g x 5 packs),"As part of the marketing strategies, Nongshim uses “사나이 울리는 신라면 (Romanization: Sanai Ullineun Shin Ramyun; translation: Shin Ramyun can make a man cry)”. The word Sanai (Hangul: 사나이) is a word to describe the man while emphasizing the masculinity.

Most of its commercials include a famous male celebrity, frequently with his family, who is eating Shin Ramyun at home. These commercials emphasize being family friendly, being Korean, and folksiness. Psy, a South Korean singer who is well known for his song ""Gangnam Style,"" and Park Ji-Sung, a South Korean footballer, also filmed Shin Ramyun commercials.

Nongshim has many jingles for their products. Adding a simple yet catchy jingle at the end of their commercials is one of Nongshim’s important marketing strategies.",RM63.50,n/a,0,0,newlineresources.online,2.1k,57,81%,within hours,12 months ago,1.2k
"Preferred+
SHIN • KOREA KOREAN RAMEN POT ○ YELLOW POT + STAINLESS STEEL SPOON + CHOPSTICKS | Noodle Pot","**Get Korean Spoon & Chopsticks at Only RM10 when purchasing with Yellow pot / Stonepot! [NP: RM13.8]

KOREAN RAMEN POT ○ YELLOW POT
·Variation(Dimension): 14cm, 16cm, 18cm, 20cm
· Material: Aluminium
· Able to cook on the stovetop.
· Made in Korea
· Cooking suggestion:
14cm -  1 packet of ramen, but you will need to crack the noodle into small pieces
16cm  - 1 packet of ramen, perfectly fit in.
18cm -  2~3 packets of ramen.
20cm - 3~4 packets of ramen.
-----------------------------------------------------------
Stainless Steel Tableware:
· Spoon + Chopsticks
----
Hello, I'm Shin! I sell 100% Authentic & Original Korean Groceries. 
-100% MADE IN KOREA.
- all Ready Stock in K.L, ship in 2 days.
- no Halal Certified.
- usually EXPIRE IN 6 MONTHS. (Please consider if you want to make a collection but not eating. )
- 98% of the description of the product is written in Korean. 

by SHIN.KOREA",RM13.80 - RM69.80,4.9,4.9,788,imshin.,25.2k,421,99%,within hours,5 years ago,25.4k
"Preferred+
【Ready Stock】 (HALAL) Korea Nongshim Shin Ramyun Bowl / Kimchi Ramyun Bowl / Claypot Ramyun Bowl 117g 韩国辣白菜拉面 石锅拉面 辛拉面","1. Nongshim Shin Ramyun Bowl  (117g)
- October 2021
2. Nongshim Kimchi Ramyun Bowl (117g)
- September 2021
3. Nongshim Claypot Ramyun Bowl (117g)
- December 2021",RM4.50,5,5,967,49shopp,23.5k,411,98%,within hours,3 years ago,9.8k
{Halal} NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"- Nongshim Shin Ramyun that makes a man cry!
- If you prefer rather hot and spicy flavor,
      try our clean and spicy essence of flavor Shin Ramyun.
- Stress buster by ""spicy & tasty beef soup""
- Chewy & soft noodles 

- Origin : Made in Shanghai
- Net Weight : 120g 
- Quantity :  5 ea 
- Manufacturer : Nongshim 

[ How to cook ]
- Stove Top
     Step 01. Boiling water
      Boil 550 mL (about 2 1/3 cups) of water. Add noodles, soup base, 
      and vegetable mix. 
     Step 02. Cooking noodles
      Cook for 4-5 minutes, stirring occasionally. 
     Step 03. Enjoy
      Remove from heat and serve. 

- Microwave (1000W)
     Step 01. Put ingredients
      Put soup base and vegetable mix into a microwaveable bowl, 
      then add noodles on top. 
     Step 02. Pour water
      Pour 470 mL (about 2 cups) of room temperature water. 
     Step 03. Cooking Noodles
      Place a microwaveable cover on the bowl. Cook for 7 minutes. 
      When using hot water, cook for 4 minutes.",RM12.12,4.9,4.9,13.1k,vkmarket,82.3k,338,82%,within hours,4 years ago,30.7k
"Preferred
[Korea] Nongshim Shin Ramen Pack 120g x 5 packs [Exp: 11/07/2021]","Welcome to Nimaco Snack where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee in a worry-free manner. Shopping can't get any easier than this, so start today!

Shin Ramyun/Ramyeon is a brand of instant noodle (including cup ramyeon) that is made by South Korean food company Nongshim since October, 1986. It now exports to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Shin Ramyun is well popular for its spicy flavor. It is produced in two kinds: Shin Ramyun,[1] the original one, and Shin Ramyun Black,[2] which was introduced in 2011. A standard package consists of noodles, a sachet of flavoring powder (soup base), and a sachet of vegetable flakes. Shin Ramyun Black contains extra beef stock soup.

📦We will pack our snack as nicely as possible before sending.
📣We do not ship on Saturday, Sunday and Public Holidays.

#Korea #Nongshim #Ramen #Noodle #Nimaco #Okashi World",RM10.90,5,5,43,okashiworldmy,3.6k,675,100%,within hours,4 years ago,3.2k
"Preferred
Nongshim Farmer's Heart Shin Ramyun Halal Korea Ramen Instant Noodle 5 Packs Spicy Mushroom kimchi clay pot Ready Stock","Expired Date : Feb 2022
Farmer's heart Shin Ramen (China)
MUI Halal Indonesia
Original from local Malaysia distributor
Advantage from Local distributor : 
- Always the latest manufacture date and freshly make.
- With Halal logo printing.

Korea No. 1 Brand
Noodle Soup Spicy Mushroom Flavor
Package : 120gm x 5pcs 

Features of Product
1. Specially mixed flour for premium noodles is used to bring a chewy texture to the noodles. 
2. No.1 representative ramyun in Korea made by Nongshim's state-of-the-art facilities and technology. 
3. Shin Ramyun/Sin Ramyeon is a brand of instant noodle that has been produced by the South Korean food company Nongshim since 1 October 1986. It is now exported to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Basic Recipe for Product

[Shin Ramyun]
1. Boil 550ml (about 2 1/4 cup) of water. Add noodles, soup base and vegetable mix.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",RM12.99 - RM13.49,4.9,4.9,2.6k,tiongwee,14.5k,216,98%,within hours,4 years ago,2.5k
"Preferred+
【Ready Stock 】 [Halal] NongShim Shin Ramyun Ramen (120g X 5pack) 600g",,RM12.50,5,5,421,49shopp,23.5k,411,98%,within hours,3 years ago,9.8k
"Preferred
(Halal) NongShim Ramen (Shin Ramyun / Kimchi / Korea Claypot) 5's x 120g","Nongshim Ramen :-

Flavour:
- Shin Ramyun Ramen (02/22/)
- KImchi Ramen  (02/22)
- Korea Claypot Ramen (11/21)
- Udon (03/22)


Packing : 5's x 120g
Made in Shanghai
Halal Certified",RM12.36 - RM12.38,5,5,2k,chrisching5373,14.9k,202,99%,within hours,4 years ago,9.1k
