prod_name,prod_desc,prod_rating,prod_no_rating,prod_no_sold,prod_pref,sell_name,sell_rating,sell_no_products,sell_resprate,sell_resptime,sell_follower,sell_joined
【Ready Stock 】 [Halal] NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"Shin Mushroom Ramyun - February 2022
Kimchi Ramyun - December 2021
Claypot Ramyun - February 2022
Shin Shrimp Ramyun -",5.0,150,421,True,49shopp,23.4k,411,98%,within hours,9.7k,3 years ago
【Ready Stock】Kgrocer Nongshim SHIN Ramyun Spicy Mushroom Flavour Multipack 5PACKS* 120G,"NONGSHIM SHIN RAMYUN - 5PACKS * 120G [HALAL] READY STOCK !!!

Ready Stock
Contents: 5 packs x 120g
Delivery in Peninsula Malaysia only
EXP:  03.01.2022

HALAL CERTIFIED

MADE BY NONGSHIM CHINA

Boramchan Kgrocer is a Korean company that wholesale & supply imported Korean products to many Korean restaurants and Korean household here in Peninsular Malaysia, our center is located at Sungai Buloh.

*Product images are for illustration purposes only, meaning that the actual product received may have slight difference on product's packaging (old/ new design), depending on the latest stocks when supplier deliver to us.

** Place your order only if you agreed to above T&C! Gamsahabnida",4.9,138,428,True,kgrocer,824,89,94%,within hours,1.9k,4 months ago
🇰🇷韩国辛辣拉面(120g x 5 packs) 🇰🇷Nongshim Farmer's Heart Shin Ramyun (120g x 5 packs),"🇰🇷韩国辛辣拉面(120g x 5 packs) 
🇰🇷Nongshim Farmer's Heart Shin Ramyun (120g x 5 packs)

Latest fresh new stock 
Farmer's heart
MUI Halal Indonesia
Original from local Malaysia distributor
Advantage from Local distributor : 
- Always the latest manufacture date and freshly make.
- With Halal logo printing.

Korea No. 1 Brand
Noodle Soup Spicy Mushroom Flavor
Package : 120gm x 5 packs 

Features of Product
1. Specially mixed flour for premium noodles is used to bring a chewy texture to the noodles. 
2. No.1 representative ramyun in Korea made by Nongshim's state-of-the-art facilities and technology. 
3. Shin Ramyun/Sin Ramyeon is a brand of instant noodle that has been produced by the South Korean food company Nongshim since 1 October 1986. It is now exported to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Basic Recipe for Product

[Shin Ramyun]
1. Boil 550ml (about 2 1/4 cup) of water. Add noodles, soup base and vegetable mix.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve

#Nongshim Farmer's Heart 产品
#Product Of Nongshim Farmer's Heart",5.0,4,24,False,yf_home,59,39,92%,within hours,142,4 years ago
Halal Nongshim Ramen (Shin Ramyun / Kimchi Ramen / Korea Claypot Ramyun / Neoguri Udon) [120g x 5 Packs],"Expiry date :
Shin ramyun - December 2021
Kimchi Ramen - 06/12/2021
Claypot Ramyun -
Neoguri Udon - 

* 1 Unit has the option to add a box with a price of rm1 for safe packing (please add a box for better protection)
*3 units do not need to be added to the box (boxes will be provided)*


The most favorite spicy taste of Koreans !!!
From October 1986 until now, Shin Ramyun is loved by everyone. Every day, the average estimate, 3 million packets are sold, equivalent to 25% of the total ramyun market in Korea.
 Shin Ramyun had great success in the ramyun market. Shin Ramyun’s unique spicy taste is the most preferred brand in over 80 overseas countries, such as Japan, Hong Kong, Taiwan, and China.
 
Product Features:
1. A special mixture of premium noodle flour is used to bring a chewy texture to the noodles.
2. Korea’s leading No.1 Ramyun made by Nongshim’s State-of-The-Art Facilities and Technology.

Basic Recipes for Products:
[Shin Ramyun]
1. Boil 550 ml (about 2 1/4 cups) of water. Add the noodles, soup and vegetable mixture.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",4.9,29,66,False,newlineresources.online,2.1k,57,81%,within hours,1.2k,12 months ago
Nongshim Farmer Hearts Shin Ramyun - 5x120g [Halal] Farmer Hearts 农心韩国辛拉面 1袋 * 5包,,5.0,93,380,True,"<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""1873ae87-32a3-4d9b-bf95-5f7118f7ae4a"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""e0f266d0-37c0-4c34-a2a4-dff0b5dcd9d6"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""2bf89dd9-9b4b-495c-a2fd-9a476ec4610c"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""e7bc4c75-8672-4cfc-bf16-4127f80e5ebe"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""cf91f006-b4ab-47a2-9993-a7ad4c082b44"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""6bd1907d-1101-421e-aa9d-8ae81a38fc05"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""34c66fc2-1678-41c6-a602-cbb714de030d"")>"
{Halal} NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"- Nongshim Shin Ramyun that makes a man cry!
- If you prefer rather hot and spicy flavor,
      try our clean and spicy essence of flavor Shin Ramyun.
- Stress buster by ""spicy & tasty beef soup""
- Chewy & soft noodles 

- Origin : Made in Shanghai
- Net Weight : 120g 
- Quantity :  5 ea 
- Manufacturer : Nongshim 

[ How to cook ]
- Stove Top
     Step 01. Boiling water
      Boil 550 mL (about 2 1/3 cups) of water. Add noodles, soup base, 
      and vegetable mix. 
     Step 02. Cooking noodles
      Cook for 4-5 minutes, stirring occasionally. 
     Step 03. Enjoy
      Remove from heat and serve. 

- Microwave (1000W)
     Step 01. Put ingredients
      Put soup base and vegetable mix into a microwaveable bowl, 
      then add noodles on top. 
     Step 02. Pour water
      Pour 470 mL (about 2 cups) of room temperature water. 
     Step 03. Cooking Noodles
      Place a microwaveable cover on the bowl. Cook for 7 minutes. 
      When using hot water, cook for 4 minutes.",4.9,4.7k,13k,False,vkmarket,82k,338,82%,within hours,30.5k,4 years ago
[Korea] Nongshim Shin Ramen Pack 120g x 5 packs [Exp: 11/07/2021],"Welcome to Nimaco Snack where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee in a worry-free manner. Shopping can't get any easier than this, so start today!

Shin Ramyun/Ramyeon is a brand of instant noodle (including cup ramyeon) that is made by South Korean food company Nongshim since October, 1986. It now exports to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Shin Ramyun is well popular for its spicy flavor. It is produced in two kinds: Shin Ramyun,[1] the original one, and Shin Ramyun Black,[2] which was introduced in 2011. A standard package consists of noodles, a sachet of flavoring powder (soup base), and a sachet of vegetable flakes. Shin Ramyun Black contains extra beef stock soup.

📦We will pack our snack as nicely as possible before sending.
📣We do not ship on Saturday, Sunday and Public Holidays.

#Korea #Nongshim #Ramen #Noodle #Nimaco #Okashi World",5.0,12,41,True,okashiworldmy,3.6k,675,100%,within hours,3.2k,4 years ago
Nongshim Farmer's Heart Shin Ramyun Halal Korea Ramen Instant Noodle 5 Packs Spicy Mushroom kimchi clay pot Ready Stock,"Expired Date : Feb 2022
Farmer's heart Shin Ramen (China)
MUI Halal Indonesia
Original from local Malaysia distributor
Advantage from Local distributor : 
- Always the latest manufacture date and freshly make.
- With Halal logo printing.

Korea No. 1 Brand
Noodle Soup Spicy Mushroom Flavor
Package : 120gm x 5pcs 

Features of Product
1. Specially mixed flour for premium noodles is used to bring a chewy texture to the noodles. 
2. No.1 representative ramyun in Korea made by Nongshim's state-of-the-art facilities and technology. 
3. Shin Ramyun/Sin Ramyeon is a brand of instant noodle that has been produced by the South Korean food company Nongshim since 1 October 1986. It is now exported to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Basic Recipe for Product

[Shin Ramyun]
1. Boil 550ml (about 2 1/4 cup) of water. Add noodles, soup base and vegetable mix.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",4.9,743,2.6k,True,tiongwee,14.5k,215,98%,within hours,2.5k,4 years ago
Halal NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"[ Key Features ]
- Nongshim Shin Ramyun that makes a man cry!
- If you prefer rather hot and spicy flavor,
      try our clean and spicy essence of flavor Shin Ramyun.
- Stress buster by ""spicy & tasty beef soup""
- Chewy & soft noodles 

- Origin : Made in China 
- Net Weight : 120g 
- Quantity :  5 ea 
- Manufacturer : Nongshim 

[ How to cook ]
- Stove Top
     Step 01. Boiling water
      Boil 550 mL (about 2 1/3 cups) of water. Add noodles, soup base, 
      and vegetable mix. 
     Step 02. Cooking noodles
      Cook for 4-5 minutes, stirring occasionally. 
     Step 03. Enjoy
      Remove from heat and serve. 

- Microwave (1000W)
     Step 01. Put ingredients
      Put soup base and vegetable mix into a microwaveable bowl, 
      then add noodles on top. 
     Step 02. Pour water
      Pour 470 mL (about 2 cups) of room temperature water. 
     Step 03. Cooking Noodles
      Place a microwaveable cover on the bowl. Cook for 7 minutes. 
      When using hot water, cook for 4 minutes.",4.9,920,2.9k,True,topstore.,25.1k,298,93%,within hours,6.1k,4 years ago
(Halal) NongShim Ramen (Shin Ramyun / Kimchi / Korea Claypot) 5's x 120g,"Nongshim Ramen :-

Flavour:
- Shin Ramyun Ramen (02/22/)
- KImchi Ramen  (02/22)
- Korea Claypot Ramen (11/21)
- Udon (03/22)


Packing : 5's x 120g
Made in Shanghai
Halal Certified",5.0,671,2k,True,chrisching5373,14.8k,202,99%,within hours,9k,4 years ago
Nongshim Shin Ramen Multipack 5 Packs X 120G [Halal],"NONGSHIM SHIN RAMYUN SHRIMP MULTIPACK 5 PACKS X 120G [HALAL]

READY STOCK

HALAL CERTIFIED

MADE BY NONGSHIM CHINA

EXPIRATION DATE: Mar - Apr 2022

#NONG SHIM #NONGSHIM #INSTANT NOODLE #STAPLE FOOD #GROCERY #HALAL #SHIN RAMYUN #ramen",5.0,66,196,True,redondo123,54.4k,121,92%,within hours,28.6k,6 years ago
Halal Nongshim Shin Ramyun Noodle【Cup/Bowl/Pack】Mushroom Ramen Instant Noodle 农心辛拉面【杯面/碗装/包装】方便面泡面快熟面,"Halal Nongshim Shin Ramyun Noodle【Cup/Bowl/Pack】Mushroom Ramen Instant Noodle 农心辛拉面【杯面/碗装/包装】方便面泡面快熟面



【Know about Nongshim brand in Korea】

Nongshim products are among the top selling Ramyun products in the world due to the unique flavor and convenience of the ramyun. It’s as simple as boiling water in a pot, adding the noodle and soup packages, and waiting for 4 to 5 minutes. Done! You have a delicious noodle soup ready for you to enjoy! You can add more vegetables, meat, or an egg to make the noodle more amazing!



【Types】

1) One Cup (74g)

2) One Big Bowl (117g)

3) One Piece (120g)

4) One Pack (5 x 120g)



【Version】

This is China version. Kindly be noted that there is not much difference between China and Korea version because China version is manufactured by company which is licensed and monitored by Korea. Hence the quality is the same as Korea. The only difference is that China labour and factory cost is lower, hence China version will have a price advantage over Korea version due to the lower overall cost, which is good to buyer. Please do not think that China version is poor as it is 100% wholly and entirely licensed and monitored by the Korea principal. Hope this clarifies your concern if you have.",4.9,149,566,False,hnjmart,4.2k,154,97%,within hours,4.5k,12 months ago
【Ready Stock 】 [Halal] NongShim Shin Ramyun Ramen (120g X 5pack) 600g,"Shin Mushroom Ramyun - February 2022
Kimchi Ramyun - December 2021
Claypot Ramyun - February 2022
Shin Shrimp Ramyun -",5.0,150,421,True,49shopp,23.4k,411,98%,within hours,9.7k,3 years ago
Nongshim Farmer's Heart Shin Ramyun (Halal) Nong Shim Korea Ramen Shin Ramen Instant Noodle 5 Packs (Ready Stock),"Expiry : Feb 2022

Farmer's heart Shin Ramyun (China Version)
MUI Halal Indonesia
Original from local Malaysia distributor
Advantage from Local distributor : 
- Always the latest manufacture date and freshly make.
- With Halal logo printing.

Korea No. 1 Brand
Noodle Soup Spicy Mushroom Flavor

Package : 120gm x 5pcs 

Features of Product
1. Specially mixed flour for premium noodles is used to bring a chewy texture to the noodles. 
2. No.1 representative ramyun in Korea made by Nongshim's state-of-the-art facilities and technology. 
3. Shin Ramyun/Sin Ramyeon is a brand of instant noodle that has been produced by the South Korean food company Nongshim since 1 October 1986. It is now exported to over 100 countries, and is the highest selling instant noodle brand in South Korea.

Basic Recipe for Product

[Shin Ramyun]
1. Boil 550ml (about 2 1/4 cup) of water. Add noodles, soup base and vegetable mix.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",4.9,61,250,True,nausicaaspace,766,96,91%,within hours,144,3 years ago
Halal NongShim Shin Ramyun Ramen (120g X 5pack),"**Min Order Quantity 2 Packs**
**One Carton 8 packs**

[ Key Features ]
- Nongshim Shin Ramyun that makes a man cry!
- If you prefer rather hot and spicy flavor,
      try our clean and spicy essence of flavor Shin Ramyun.
- Stress buster by ""spicy & tasty beef soup""
- Chewy & soft noodles 

- Origin : Made in China 
- Net Weight : 120g 
- Quantity :  5 ea 
- Manufacturer : Nongshim 

[ How to cook ]
- Stove Top
     Step 01. Boiling water
      Boil 550 mL (about 2 1/3 cups) of water. Add noodles, soup base, 
      and vegetable mix. 
     Step 02. Cooking noodles
      Cook for 4-5 minutes, stirring occasionally. 
     Step 03. Enjoy
      Remove from heat and serve. 

- Microwave (1000W)
     Step 01. Put ingredients
      Put soup base and vegetable mix into a microwaveable bowl, 
      then add noodles on top. 
     Step 02. Pour water
      Pour 470 mL (about 2 cups) of room temperature water. 
     Step 03. Cooking Noodles
      Place a microwaveable cover on the bowl. Cook for 7 minutes. 
      When using hot water, cook for 4 minutes.",4.9,141,390,False,hkmart1212,9.8k,359,74%,within hours,1.9k,20 months ago
SHIN•KOREA Nong Shim Shin Ramen [Original Korean Version],,5.0,254,645,True,"Bundle Deals
Any 3 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""89501b3d-9fdc-4de3-8f63-53beeadb183a"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""e23b9883-83c3-4231-aaa5-9d5839c9a05a"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""af19e974-332a-48c5-b48b-bacae67bf6a4"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""7eaea1a4-6348-41b4-a19f-93e93da8d576"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""e54ecaeb-e3f3-4dbb-a4ce-ec75dad6bf26"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""859e6701-a8cb-4666-893f-d710233e0a40"")>"
(Halal) NongShim Ramen (Shin Ramyun / Kimchi ) 5's x 120g,"(Halal) NongShim Ramen 5's x 120g

Flavour:Shin Ramyun Ramen /KImchi Ramen/Cyalpot Ramen/Udon Ramen
Packing:5'sx120g

EXP:shin,kimchi,udon02/22 
         claypot 2021/11",5.0,225,591,True,happywawa328,6.6k,121,99%,within hours,4.7k,28 months ago
Halal Nongshim Ramen (Shin Ramyun / Kimchi Ramen / Korea Claypot Ramyun / Neoguri Udon) [120g x 5 Packs],"Expiry date :
Shin ramyun - December 2021
Kimchi Ramen - 06/12/2021
Claypot Ramyun -
Neoguri Udon - 

* 1 Unit has the option to add a box with a price of rm1 for safe packing (please add a box for better protection)
*3 units do not need to be added to the box (boxes will be provided)*


The most favorite spicy taste of Koreans !!!
From October 1986 until now, Shin Ramyun is loved by everyone. Every day, the average estimate, 3 million packets are sold, equivalent to 25% of the total ramyun market in Korea.
 Shin Ramyun had great success in the ramyun market. Shin Ramyun’s unique spicy taste is the most preferred brand in over 80 overseas countries, such as Japan, Hong Kong, Taiwan, and China.
 
Product Features:
1. A special mixture of premium noodle flour is used to bring a chewy texture to the noodles.
2. Korea’s leading No.1 Ramyun made by Nongshim’s State-of-The-Art Facilities and Technology.

Basic Recipes for Products:
[Shin Ramyun]
1. Boil 550 ml (about 2 1/4 cups) of water. Add the noodles, soup and vegetable mixture.
2. Cook for 4-5 minutes, stirring occasionally.
3. Remove from heat and serve.",4.9,29,66,False,newlineresources.online,2.1k,57,81%,within hours,1.2k,12 months ago
"[Nongshim] Shin Ramyun Series(Original, Black, Non-Frying,Black Tofu Kimchi) shipping from korea/korea food/korea ramyun/spicy noodle/sin ramen/ramyun/Instant",,5.0,2,13,True,"Bundle Deals
Any 2 enjoy 2% off","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""ab06037f-86c3-40d4-b26d-0780b5e6bf61"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""71d5f399-261c-4ac2-979a-44b98e8240e6"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""487dc2f3-5cff-4f00-b1f0-c4b63afcda04"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""50b51e51-803a-4f9d-b34c-9f43c36488aa"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""10716117-99e6-4fbd-bfd2-a1f6206169fe"")>","<selenium.webdriver.remote.webelement.WebElement (session=""17c561d97f53ffab57e85a8356731a34"", element=""f4d94f9c-df1e-4532-a199-f85804a28532"")>"
